2018-04-21 15:42:36 INFO  LogThis:30 - Invalid Choice
2018-04-21 20:41:38 INFO  LogThis:30 - Start Menu
2018-04-21 20:42:16 INFO  LogThis:30 - Start Menu
2018-04-21 20:49:13 INFO  LogThis:30 - Start Menu
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
2018-04-21 20:49:17 WARN  LogThis:34 - com.revature.singletons.AccountData
